Country,Code,Year,Growth,Health,Education,Capital,Trade,Income,CPI
Latvia,LVA,1961,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1961,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1961,NA,NA,NA,NA,164.1522509,High income,NA
Netherlands,NLD,1961,NA,NA,NA,NA,93.06376226,High income,NA
Poland,POL,1961,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1961,NA,NA,NA,NA,36.05248861,High income,NA
Romania,ROU,1961,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1961,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1961,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1961,NA,NA,NA,NA,16.57385794,High income,NA
Sweden,SWE,1961,NA,NA,NA,NA,44.03452456,High income,NA
United Kingdom,GBR,1961,NA,NA,NA,NA,40.13515219,High income,NA
Austria,AUT,1962,NA,NA,NA,NA,45.61809015,High income,NA
Belgium,BEL,1962,NA,NA,NA,NA,81.15764325,High income,NA
Bulgaria,BGR,1962,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1962,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1962,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1962,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1962,NA,NA,NA,NA,61.12438656,High income,NA
Estonia,EST,1962,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1962,NA,NA,NA,NA,41.35823847,High income,NA
France,FRA,1962,NA,NA,NA,NA,24.94987464,High income,NA
Germany,DEU,1962,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1962,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1962,NA,NA,NA,NA,25.39695776,High income,NA
Italy,ITA,1962,NA,NA,NA,NA,25.87554096,High income,NA
Latvia,LVA,1962,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1962,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1962,NA,NA,NA,NA,155.9772942,High income,NA
Netherlands,NLD,1962,NA,NA,NA,NA,91.47200779,High income,NA
Poland,POL,1962,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1962,NA,NA,NA,NA,34.22538285,High income,NA
Romania,ROU,1962,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1962,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1962,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1962,NA,NA,NA,NA,18.42278072,High income,NA
Sweden,SWE,1962,NA,NA,NA,NA,43.29733632,High income,NA
United Kingdom,GBR,1962,NA,NA,NA,NA,39.04437356,High income,NA
Austria,AUT,1963,NA,NA,NA,NA,46.28469294,High income,NA
Belgium,BEL,1963,NA,NA,NA,NA,84.38258376,High income,NA
Bulgaria,BGR,1963,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1963,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1963,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1963,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1963,NA,NA,NA,NA,61.19424866,High income,NA
Estonia,EST,1963,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1963,NA,NA,NA,NA,38.4806587,High income,NA
France,FRA,1963,NA,NA,NA,NA,25.06285613,High income,NA
Germany,DEU,1963,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1963,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1963,NA,NA,NA,NA,26.73306329,High income,NA
Italy,ITA,1963,NA,NA,NA,NA,26.50846578,High income,NA
Latvia,LVA,1963,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1963,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1963,NA,NA,NA,NA,152.0897197,High income,NA
Netherlands,NLD,1963,NA,NA,NA,NA,92.74529416,High income,NA
Poland,POL,1963,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1963,NA,NA,NA,NA,35.88074465,High income,NA
Romania,ROU,1963,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1963,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1963,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1963,NA,NA,NA,NA,18.49234533,High income,NA
Sweden,SWE,1963,NA,NA,NA,NA,43.46087167,High income,NA
United Kingdom,GBR,1963,NA,NA,NA,NA,39.04649845,High income,NA
Austria,AUT,1964,NA,NA,NA,NA,46.98558125,High income,NA
Belgium,BEL,1964,NA,NA,NA,NA,85.3268781,High income,NA
Bulgaria,BGR,1964,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1964,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1964,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1964,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1964,NA,NA,NA,NA,62.48017309,High income,NA
Estonia,EST,1964,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1964,NA,NA,NA,NA,40.16856613,High income,NA
France,FRA,1964,NA,NA,NA,NA,25.68630559,High income,NA
Germany,DEU,1964,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1964,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1964,NA,NA,NA,NA,26.92635254,High income,NA
Italy,ITA,1964,NA,NA,NA,NA,25.53170551,High income,NA
Latvia,LVA,1964,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1964,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1964,NA,NA,NA,NA,154.3765695,High income,NA
Netherlands,NLD,1964,NA,NA,NA,NA,91.29548426,High income,NA
Poland,POL,1964,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1964,NA,NA,NA,NA,46.0262968,High income,NA
Romania,ROU,1964,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1964,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1964,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1964,NA,NA,NA,NA,20.19538931,High income,NA
Sweden,SWE,1964,NA,NA,NA,NA,44.21557242,High income,NA
United Kingdom,GBR,1964,NA,NA,NA,NA,39.15647233,High income,NA
Austria,AUT,1965,NA,NA,NA,NA,48.23931495,High income,NA
Belgium,BEL,1965,NA,NA,NA,NA,83.99006921,High income,NA
Bulgaria,BGR,1965,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1965,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1965,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1965,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1965,NA,NA,NA,NA,60.8372777,High income,NA
Estonia,EST,1965,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1965,NA,NA,NA,29.63855887,40.05693083,High income,NA
France,FRA,1965,NA,NA,NA,NA,25.8033546,High income,NA
Germany,DEU,1965,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1965,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1965,NA,NA,NA,53.31139039,27.99839293,High income,NA
Italy,ITA,1965,NA,NA,NA,23.14670744,26.41623085,High income,NA
Latvia,LVA,1965,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1965,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1965,NA,NA,NA,30.29748397,158.1048117,High income,NA
Netherlands,NLD,1965,NA,NA,NA,NA,85.7964652,High income,NA
Poland,POL,1965,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1965,NA,NA,NA,NA,48.33395315,High income,NA
Romania,ROU,1965,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1965,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1965,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1965,NA,NA,NA,NA,21.33913148,High income,NA
Sweden,SWE,1965,NA,NA,NA,28.21881945,44.40045416,High income,NA
United Kingdom,GBR,1965,NA,NA,NA,20.33004897,37.90561305,High income,NA
Austria,AUT,1966,NA,NA,NA,NA,48.92554253,High income,NA
Belgium,BEL,1966,NA,NA,NA,NA,88.03574573,High income,NA
Bulgaria,BGR,1966,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1966,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1966,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1966,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1966,NA,NA,NA,25.42189631,59.3351573,High income,NA
Estonia,EST,1966,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1966,NA,NA,NA,28.08335813,39.32876432,High income,NA
France,FRA,1966,NA,NA,NA,NA,26.53715193,High income,NA
Germany,DEU,1966,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1966,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1966,NA,NA,NA,9.720062571,28.64387132,High income,NA
Italy,ITA,1966,NA,NA,NA,22.62348846,27.70560583,High income,NA
Latvia,LVA,1966,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1966,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1966,NA,NA,NA,29.32157946,150.0867107,High income,NA
Netherlands,NLD,1966,NA,NA,NA,NA,84.20882584,High income,NA
Poland,POL,1966,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1966,NA,NA,NA,NA,48.24523581,High income,NA
Romania,ROU,1966,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1966,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1966,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1966,NA,NA,NA,NA,22.44910439,High income,NA
Sweden,SWE,1966,NA,NA,NA,26.7320304,43.35503833,High income,NA
United Kingdom,GBR,1966,NA,NA,NA,19.81536237,37.65279397,High income,NA
Austria,AUT,1967,NA,NA,NA,NA,48.30854122,High income,NA
Belgium,BEL,1967,NA,NA,NA,NA,84.95429386,High income,NA
Bulgaria,BGR,1967,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1967,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1967,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1967,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1967,NA,NA,NA,24.95287338,57.33704325,High income,NA
Estonia,EST,1967,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1967,NA,NA,NA,25.41315628,38.3132565,High income,NA
France,FRA,1967,NA,NA,NA,NA,26.24897892,High income,NA
Germany,DEU,1967,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1967,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1967,NA,NA,NA,24.29093991,27.39317156,High income,NA
Italy,ITA,1967,NA,NA,NA,23.52983352,27.96178321,High income,NA
Latvia,LVA,1967,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1967,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1967,NA,NA,NA,35.24930781,147.1200489,High income,NA
Netherlands,NLD,1967,NA,NA,NA,NA,81.35971408,High income,NA
Poland,POL,1967,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1967,NA,NA,NA,NA,47.09657162,High income,NA
Romania,ROU,1967,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1967,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1967,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1967,NA,NA,NA,NA,20.43472283,High income,NA
Sweden,SWE,1967,NA,NA,NA,25.65156933,42.09835533,High income,NA
United Kingdom,GBR,1967,NA,NA,NA,20.48856432,37.99073317,High income,NA
Austria,AUT,1968,NA,NA,NA,NA,49.01388117,High income,NA
Belgium,BEL,1968,NA,NA,NA,NA,89.27256583,High income,NA
Bulgaria,BGR,1968,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1968,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1968,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1968,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1968,NA,NA,NA,24.54513019,57.35987906,High income,NA
Estonia,EST,1968,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1968,NA,NA,NA,25.37787939,41.53649074,High income,NA
France,FRA,1968,NA,NA,NA,NA,26.63574216,High income,NA
Germany,DEU,1968,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1968,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1968,NA,NA,NA,2.388235314,26.72939399,High income,NA
Italy,ITA,1968,NA,NA,NA,24.14562939,28.51409991,High income,NA
Latvia,LVA,1968,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1968,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1968,NA,NA,NA,30.83925266,149.0416172,High income,NA
Netherlands,NLD,1968,NA,NA,NA,NA,81.43023317,High income,NA
Poland,POL,1968,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1968,NA,NA,NA,NA,45.49486598,High income,NA
Romania,ROU,1968,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1968,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1968,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1968,NA,NA,NA,NA,23.16902129,High income,NA
Sweden,SWE,1968,NA,NA,NA,24.85358246,43.14854907,High income,NA
United Kingdom,GBR,1968,NA,NA,NA,21.21063615,42.1957977,High income,NA
Austria,AUT,1969,NA,NA,NA,NA,52.72525966,High income,NA
Belgium,BEL,1969,NA,NA,NA,NA,96.49128993,High income,NA
Bulgaria,BGR,1969,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1969,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1969,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1969,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1969,NA,NA,NA,26.27197726,57.94551061,High income,NA
Estonia,EST,1969,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1969,NA,NA,NA,25.91562615,44.98209901,High income,NA
France,FRA,1969,NA,NA,NA,NA,28.81362869,High income,NA
Germany,DEU,1969,NA,NA,NA,NA,NA,High income,NA
Hungary,HUN,1969,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1969,NA,NA,NA,17.12782105,27.14721438,High income,NA
Italy,ITA,1969,NA,NA,NA,25.23907986,30.39060378,High income,NA
Latvia,LVA,1969,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1969,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1969,NA,NA,NA,29.66760522,152.2542486,High income,NA
Netherlands,NLD,1969,NA,NA,NA,NA,84.62913451,High income,NA
Poland,POL,1969,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1969,NA,NA,NA,NA,44.01577681,High income,NA
Romania,ROU,1969,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1969,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1969,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1969,NA,NA,NA,NA,24.46148591,High income,NA
Sweden,SWE,1969,NA,NA,NA,25.3367285,45.88145915,High income,NA
United Kingdom,GBR,1969,NA,NA,NA,20.59537302,42.555612,High income,NA
Austria,AUT,1970,NA,NA,NA,31.12072187,54.83720301,High income,NA
Belgium,BEL,1970,NA,NA,NA,29.70278961,87.0758025,High income,NA
Bulgaria,BGR,1970,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1970,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1970,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1970,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1970,NA,NA,NA,26.74636516,57.13460247,High income,NA
Estonia,EST,1970,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1970,NA,NA,NA,31.80089735,49.38469104,High income,NA
France,FRA,1970,NA,NA,NA,28.0989573,31.13269635,High income,NA
Germany,DEU,1970,NA,NA,NA,32.47028697,31.81554837,High income,NA
Hungary,HUN,1970,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1970,NA,NA,NA,36.45788462,23.10994329,High income,NA
Italy,ITA,1970,NA,NA,NA,25.70885772,30.19125842,High income,NA
Latvia,LVA,1970,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1970,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1970,NA,NA,NA,22.52364578,156.6724743,High income,NA
Netherlands,NLD,1970,NA,NA,NA,29.88928629,86.88385971,High income,NA
Poland,POL,1970,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1970,NA,NA,NA,28.05071363,43.20812242,High income,NA
Romania,ROU,1970,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1970,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1970,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1970,NA,NA,NA,28.16972908,25.84998355,High income,NA
Sweden,SWE,1970,NA,NA,NA,33.30544566,45.1131274,High income,NA
United Kingdom,GBR,1970,NA,NA,NA,24.18047051,41.90201649,High income,NA
Austria,AUT,1971,4.294260292,NA,NA,31.11397746,54.35738637,High income,NA
Belgium,BEL,1971,3.447330402,NA,NA,28.6014833,84.94905498,High income,NA
Bulgaria,BGR,1971,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1971,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1971,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1971,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1971,1.809200159,NA,NA,25.91225941,55.67463453,High income,NA
Estonia,EST,1971,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1971,0.618674477,NA,NA,31.92102598,47.40722974,High income,NA
France,FRA,1971,4.498179511,NA,NA,27.29198206,31.73273062,High income,NA
Germany,DEU,1971,2.657778869,NA,NA,31.5819851,30.94590031,High income,NA
Hungary,HUN,1971,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1971,7.34483579,NA,NA,38.01793432,23.31919994,High income,NA
Italy,ITA,1971,1.576750316,NA,NA,23.56185431,30.4894422,High income,NA
Latvia,LVA,1971,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1971,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1971,-6.737520417,NA,NA,25.89796754,163.7911347,High income,NA
Netherlands,NLD,1971,2.45821053,NA,NA,28.50448534,85.8073583,High income,NA
Poland,POL,1971,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1971,7.037089144,NA,NA,26.0962842,44.66859757,High income,NA
Romania,ROU,1971,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1971,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1971,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1971,4.550832478,NA,NA,25.89776252,25.92878864,High income,NA
Sweden,SWE,1971,0.337232953,NA,NA,30.20852802,43.984851,High income,NA
United Kingdom,GBR,1971,2.351810158,NA,NA,23.60308561,41.55410746,High income,NA
Austria,AUT,1972,5.946274233,NA,NA,32.08348567,54.27291756,High income,NA
Belgium,BEL,1972,5.713866378,NA,NA,26.60082338,84.57871806,High income,NA
Bulgaria,BGR,1972,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1972,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1972,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1972,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1972,4.406140953,NA,NA,26.70750516,53.22114104,High income,NA
Estonia,EST,1972,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1972,7.378526129,NA,NA,29.39415978,47.7548606,High income,NA
France,FRA,1972,3.380146638,NA,NA,27.54592792,32.21701656,High income,NA
Germany,DEU,1972,3.677775777,NA,NA,30.37202599,30.83443706,High income,NA
Hungary,HUN,1972,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1972,8.530483241,NA,NA,41.74701058,25.31766417,High income,NA
Italy,ITA,1972,3.378195902,NA,NA,22.67323319,31.92053984,High income,NA
Latvia,LVA,1972,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1972,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1972,10.05272906,NA,NA,24.88022585,151.6479053,High income,NA
Netherlands,NLD,1972,4.092180659,NA,NA,25.8780417,83.11762887,High income,NA
Poland,POL,1972,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1972,9.238817516,NA,NA,28.72329011,46.22668866,High income,NA
Romania,ROU,1972,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1972,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1972,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1972,7.844492611,NA,NA,27.13011609,27.21466006,High income,NA
Sweden,SWE,1972,2.110247029,NA,NA,29.13490347,43.39337627,High income,NA
United Kingdom,GBR,1972,3.051445498,NA,NA,22.98550048,40.52309578,High income,NA
Austria,AUT,1973,5.263843576,NA,NA,32.32997892,54.43357311,High income,NA
Belgium,BEL,1973,6.930322902,NA,NA,27.63646928,93.4462479,High income,NA
Bulgaria,BGR,1973,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1973,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1973,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1973,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1973,5.680972813,NA,NA,27.53718297,57.83975687,High income,NA
Estonia,EST,1973,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1973,6.065466841,NA,NA,30.87438745,48.47172515,High income,NA
France,FRA,1973,5.286773708,NA,NA,28.12408058,34.1632388,High income,NA
Germany,DEU,1973,4.368063054,NA,NA,29.06865274,31.80778412,High income,NA
Hungary,HUN,1973,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1973,7.196064049,NA,NA,48.28359039,31.73035071,High income,NA
Italy,ITA,1973,3.478165518,NA,NA,26.05771428,34.16914834,High income,NA
Latvia,LVA,1973,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1973,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1973,10.4651074,NA,NA,23.62365375,157.8979122,High income,NA
Netherlands,NLD,1973,6.497235047,NA,NA,25.89366224,86.60419881,High income,NA
Poland,POL,1973,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1973,13.02900929,NA,NA,31.2484356,47.23128384,High income,NA
Romania,ROU,1973,NA,NA,NA,NA,NA,Upper middle income,NA
Slovak Republic,SVK,1973,NA,NA,NA,NA,NA,High income,NA
Slovenia,SVN,1973,NA,NA,NA,NA,NA,High income,NA
Spain,ESP,1973,6.660767806,NA,NA,28.50676545,28.13889662,High income,NA
Sweden,SWE,1973,4.009721669,NA,NA,28.13255557,48.20320592,High income,NA
United Kingdom,GBR,1973,3.508001099,NA,NA,26.95737066,46.24868781,High income,NA
Austria,AUT,1974,2.307523136,NA,NA,32.61061878,59.54202319,High income,NA
Belgium,BEL,1974,2.692727991,NA,NA,30.34010682,104.495769,High income,NA
Bulgaria,BGR,1974,NA,NA,NA,NA,NA,Upper middle income,NA
Croatia,HRV,1974,NA,NA,NA,NA,NA,Upper middle income,NA
Cyprus,CYP,1974,NA,NA,NA,NA,NA,High income,NA
Czech Republic,CZE,1974,NA,NA,NA,NA,NA,High income,NA
Denmark,DNK,1974,-5.799006302,NA,NA,26.93560162,64.66158191,High income,NA
Estonia,EST,1974,NA,NA,NA,NA,NA,High income,NA
Finland,FIN,1974,0.381834515,NA,NA,37.00205556,55.17392989,High income,NA
France,FRA,1974,0.190200384,NA,NA,29.01785502,42.08233967,High income,NA
Germany,DEU,1974,-0.753285496,NA,NA,26.26568484,37.07443906,High income,NA
Hungary,HUN,1974,NA,NA,NA,NA,NA,High income,NA
Greece,GRC,1974,-6.835015145,NA,NA,38.25292933,35.47690681,High income,NA
Italy,ITA,1974,0.794466891,NA,NA,29.43075261,40.92796741,High income,NA
Latvia,LVA,1974,NA,NA,NA,NA,NA,High income,NA
Lithuania,LTU,1974,NA,NA,NA,NA,NA,High income,NA
Luxembourg,LUX,1974,15.76165608,NA,NA,18.48303435,175.4505837,High income,NA
Netherlands,NLD,1974,-2.598870257,NA,NA,24.74306952,96.5305484,High income,NA
Poland,POL,1974,NA,NA,NA,NA,NA,High income,NA
Portugal,PRT,1974,-2.008893994,NA,NA,29.6359819,53.93489882,High income,NA
